Photoabsorption and Partial Photoionization Cross Sections for Atomic Oxygen
    LAM   ABS     4So    2Do    2Po    4P     2P     K
  702.01  8.523  3.681  4.842  0.000  0.000  0.000  0.000
  703.01  8.523  3.687  4.844  0.000  0.000  0.000  0.000
  703.36  8.523  3.684  4.839  0.000  0.000  0.000  0.000
  704.01  8.523  3.690  4.834  0.000  0.000  0.000  0.000
  705.01  8.523  3.692  4.831  0.000  0.000  0.000  0.000
  706.01  8.523  3.695  4.828  0.000  0.000  0.000  0.000
  707.01  8.523  3.698  4.817  0.000  0.000  0.000  0.000
  708.01  8.523  3.701  4.814  0.000  0.000  0.000  0.000
  709.01  8.523  3.713  4.811  0.000  0.000  0.000  0.000
  710.01  8.523  3.716  4.807  0.000  0.000  0.000  0.000
  711.01  8.523  3.723  4.800  0.000  0.000  0.000  0.000
  712.01  8.523  3.727  4.797  0.000  0.000  0.000  0.000
  712.70  8.523  3.725  4.790  0.000  0.000  0.000  0.000
  713.01  8.523  3.732  4.791  0.000  0.000  0.000  0.000
  714.01  8.523  3.733  4.791  0.000  0.000  0.000  0.000
  715.01  8.523  3.742  4.790  0.000  0.000  0.000  0.000
  716.01  8.513  3.735  4.770  0.000  0.000  0.000  0.000
  717.01  8.486  3.732  4.754  0.000  0.000  0.000  0.000
  718.01  8.458  3.729  4.738  0.000  0.000  0.000  0.000
  718.50  8.445  3.717  4.727  0.000  0.000  0.000  0.000
  719.01  8.431  3.714  4.717  0.000  0.000  0.000  0.000
  720.01  8.403  3.712  4.691  0.000  0.000  0.000  0.000
  721.01  8.376  3.700  4.675  0.000  0.000  0.000  0.000
  722.01  8.348  3.694  4.654  0.000  0.000  0.000  0.000
  723.01  8.320  3.692  4.638  0.000  0.000  0.000  0.000
  724.01  8.293  3.677  4.607  0.000  0.000  0.000  0.000
  725.01  8.265  3.674  4.591  0.000  0.000  0.000  0.000
  726.01  8.238  3.664  4.573  0.000  0.000  0.000  0.000
  727.01  8.210  3.658  4.552  0.000  0.000  0.000  0.000
  728.01  8.182  3.648  4.535  0.000  0.000  0.000  0.000
  729.01  8.155  3.638  4.508  0.000  0.000  0.000  0.000
  730.01  8.127  3.637  4.490  0.000  0.000  0.000  0.000
  731.01  8.062  3.614  4.448  0.000  0.000  0.000  0.000
  732.01  4.300  4.300  0.000  0.000  0.000  0.000  0.000
  733.01  4.290  4.290  0.000  0.000  0.000  0.000  0.000
  734.01  4.280  4.280  0.000  0.000  0.000  0.000  0.000
  735.01  4.270  4.270  0.000  0.000  0.000  0.000  0.000
  736.01  4.260  4.260  0.000  0.000  0.000  0.000  0.000
  737.01  4.251  4.251  0.000  0.000  0.000  0.000  0.000
  738.01  4.241  4.241  0.000  0.000  0.000  0.000  0.000
  739.01  4.231  4.231  0.000  0.000  0.000  0.000  0.000
  740.01  4.221  4.221  0.000  0.000  0.000  0.000  0.000
  741.01  4.211  4.211  0.000  0.000  0.000  0.000  0.000
  742.01  4.201  4.201  0.000  0.000  0.000  0.000  0.000
  743.01  4.191  4.191  0.000  0.000  0.000  0.000  0.000
  744.01  4.181  4.181  0.000  0.000  0.000  0.000  0.000
  745.01  4.172  4.172  0.000  0.000  0.000  0.000  0.000
  746.01  4.162  4.162  0.000  0.000  0.000  0.000  0.000
  747.01  4.152  4.152  0.000  0.000  0.000  0.000  0.000
  748.01  4.142  4.142  0.000  0.000  0.000  0.000  0.000
  749.01  4.132  4.132  0.000  0.000  0.000  0.000  0.000
  750.01  4.122  4.122  0.000  0.000  0.000  0.000  0.000
  750.01  4.122  4.122  0.000  0.000  0.000  0.000  0.000
  751.01  4.112  4.112  0.000  0.000  0.000  0.000  0.000
  752.01  4.103  4.103  0.000  0.000  0.000  0.000  0.000
  753.01  4.093  4.093  0.000  0.000  0.000  0.000  0.000
  754.01  4.083  4.083  0.000  0.000  0.000  0.000  0.000
  755.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  756.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  757.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  758.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  758.68  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  759.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  759.44  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  760.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  760.30  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  761.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  761.13  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  762.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  763.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  764.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  765.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  765.15  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  766.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  767.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  768.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  769.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  770.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  770.41  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  771.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  772.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  773.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  774.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  775.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  776.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  777.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  778.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  779.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  780.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  780.32  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  781.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  782.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  783.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  784.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  785.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  786.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  786.47  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  787.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  787.71  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  788.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  789.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  790.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  790.15  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  791.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  792.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  793.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  794.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  795.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  796.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  797.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  798.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  799.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  800.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  801.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  802.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  803.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  804.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  805.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  806.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  807.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  808.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  809.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  810.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  811.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  812.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  813.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  814.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  815.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  816.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  817.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  818.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  819.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  820.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  821.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  822.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  823.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  824.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  825.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  826.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  827.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  828.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  829.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  830.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  831.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  832.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  833.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  834.01  4.076  4.076  0.000  0.000  0.000  0.000  0.000
  834.20  4.075  4.075  0.000  0.000  0.000  0.000  0.000
  835.01  4.071  4.071  0.000  0.000  0.000  0.000  0.000
  836.01  4.066  4.066  0.000  0.000  0.000  0.000  0.000
  837.01  4.061  4.061  0.000  0.000  0.000  0.000  0.000
  838.01  4.057  4.057  0.000  0.000  0.000  0.000  0.000
  839.01  4.052  4.052  0.000  0.000  0.000  0.000  0.000
  840.01  4.047  4.047  0.000  0.000  0.000  0.000  0.000
  841.01  4.042  4.042  0.000  0.000  0.000  0.000  0.000
  842.01  4.037  4.037  0.000  0.000  0.000  0.000  0.000
  843.01  4.032  4.032  0.000  0.000  0.000  0.000  0.000
  844.01  4.027  4.027  0.000  0.000  0.000  0.000  0.000
  845.01  4.022  4.022  0.000  0.000  0.000  0.000  0.000
  846.01  4.017  4.017  0.000  0.000  0.000  0.000  0.000
  847.01  4.012  4.012  0.000  0.000  0.000  0.000  0.000
  848.01  4.007  4.007  0.000  0.000  0.000  0.000  0.000
  849.01  4.002  4.002  0.000  0.000  0.000  0.000  0.000
  850.01  3.997  3.997  0.000  0.000  0.000  0.000  0.000
  851.01  3.992  3.992  0.000  0.000  0.000  0.000  0.000
  852.01  3.987  3.987  0.000  0.000  0.000  0.000  0.000
  853.01  3.982  3.982  0.000  0.000  0.000  0.000  0.000
  854.01  3.977  3.977  0.000  0.000  0.000  0.000  0.000
  855.01  3.972  3.972  0.000  0.000  0.000  0.000  0.000
  856.01  3.967  3.967  0.000  0.000  0.000  0.000  0.000
  857.01  3.962  3.962  0.000  0.000  0.000  0.000  0.000
  858.01  3.957  3.957  0.000  0.000  0.000  0.000  0.000
  859.01  3.953  3.953  0.000  0.000  0.000  0.000  0.000
  860.01  3.948  3.948  0.000  0.000  0.000  0.000  0.000
  861.01  3.943  3.943  0.000  0.000  0.000  0.000  0.000
  862.01  3.938  3.938  0.000  0.000  0.000  0.000  0.000
  863.01  3.933  3.933  0.000  0.000  0.000  0.000  0.000
  864.01  3.928  3.928  0.000  0.000  0.000  0.000  0.000
  865.01  3.923  3.923  0.000  0.000  0.000  0.000  0.000
  866.01  3.918  3.918  0.000  0.000  0.000  0.000  0.000
  867.01  3.913  3.913  0.000  0.000  0.000  0.000  0.000
  868.01  3.908  3.908  0.000  0.000  0.000  0.000  0.000
  869.01  3.903  3.903  0.000  0.000  0.000  0.000  0.000
  870.01  3.898  3.898  0.000  0.000  0.000  0.000  0.000
  871.01  3.893  3.893  0.000  0.000  0.000  0.000  0.000
  872.01  3.888  3.888  0.000  0.000  0.000  0.000  0.000
  873.01  3.883  3.883  0.000  0.000  0.000  0.000  0.000
  874.01  3.878  3.878  0.000  0.000  0.000  0.000  0.000
  875.01  3.873  3.873  0.000  0.000  0.000  0.000  0.000
  876.01  3.868  3.868  0.000  0.000  0.000  0.000  0.000
  877.01  3.863  3.863  0.000  0.000  0.000  0.000  0.000
  878.01  3.858  3.858  0.000  0.000  0.000  0.000  0.000
  879.01  3.853  3.853  0.000  0.000  0.000  0.000  0.000
  880.01  3.849  3.849  0.000  0.000  0.000  0.000  0.000
  881.01  3.844  3.844  0.000  0.000  0.000  0.000  0.000
  882.01  3.839  3.839  0.000  0.000  0.000  0.000  0.000
  883.01  3.834  3.834  0.000  0.000  0.000  0.000  0.000
  884.01  3.829  3.829  0.000  0.000  0.000  0.000  0.000
  885.01  3.824  3.824  0.000  0.000  0.000  0.000  0.000
  886.01  3.819  3.819  0.000  0.000  0.000  0.000  0.000
  887.01  3.814  3.814  0.000  0.000  0.000  0.000  0.000
  888.01  3.809  3.809  0.000  0.000  0.000  0.000  0.000
  889.01  3.804  3.804  0.000  0.000  0.000  0.000  0.000
  890.01  3.799  3.799  0.000  0.000  0.000  0.000  0.000
  891.01  3.794  3.794  0.000  0.000  0.000  0.000  0.000
  892.01  3.789  3.789  0.000  0.000  0.000  0.000  0.000
  893.01  3.784  3.784  0.000  0.000  0.000  0.000  0.000
  894.01  3.779  3.779  0.000  0.000  0.000  0.000  0.000
  895.01  3.774  3.774  0.000  0.000  0.000  0.000  0.000
  896.01  3.769  3.769  0.000  0.000  0.000  0.000  0.000
  897.01  3.764  3.764  0.000  0.000  0.000  0.000  0.000
  898.01  3.759  3.759  0.000  0.000  0.000  0.000  0.000
  899.01  3.754  3.754  0.000  0.000  0.000  0.000  0.000
  900.01  3.749  3.749  0.000  0.000  0.000  0.000  0.000
  901.01  3.745  3.745  0.000  0.000  0.000  0.000  0.000
  902.01  3.740  3.740  0.000  0.000  0.000  0.000  0.000
  903.01  3.735  3.735  0.000  0.000  0.000  0.000  0.000
  904.01  3.730  3.730  0.000  0.000  0.000  0.000  0.000
  904.10  3.729  3.729  0.000  0.000  0.000  0.000  0.000
  905.01  3.725  3.725  0.000  0.000  0.000  0.000  0.000
  906.01  3.720  3.720  0.000  0.000  0.000  0.000  0.000
  907.01  3.715  3.715  0.000  0.000  0.000  0.000  0.000
  908.01  3.710  3.710  0.000  0.000  0.000  0.000  0.000
  909.01  3.705  3.705  0.000  0.000  0.000  0.000  0.000
  910.01  3.700  3.700  0.000  0.000  0.000  0.000  0.000
